video,clip_start_frame,mse,regularity_score
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,0,0.00294524,0.73539638
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,1,0.00292747,0.73978036
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,2,0.00290141,0.74621023
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,3,0.00288335,0.75066526
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,4,0.00285983,0.75646565
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,5,0.00282870,0.76414474
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,6,0.00280130,0.77090527
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,7,0.00278048,0.77603987
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,8,0.00277436,0.77754927
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,9,0.00276376,0.78016487
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,10,0.00277071,0.77845060
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,11,0.00276650,0.77948874
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,12,0.00276756,0.77922695
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,13,0.00275133,0.78323174
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,14,0.00274902,0.78380179
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,15,0.00274124,0.78572018
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,16,0.00274543,0.78468795
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,17,0.00273741,0.78666545
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,18,0.00274711,0.78427333
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,19,0.00274087,0.78581277
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,20,0.00273943,0.78616795
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,21,0.00272614,0.78944497
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,22,0.00272252,0.79033809
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,23,0.00270863,0.79376382
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,24,0.00271219,0.79288603
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,25,0.00270892,0.79369375
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,26,0.00270943,0.79356727
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,27,0.00271487,0.79222426
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,28,0.00272063,0.79080567
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,29,0.00272443,0.78986735
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,30,0.00271979,0.79101066
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,31,0.00272295,0.79023218
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,32,0.00273372,0.78757580
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,33,0.00274583,0.78458836
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,34,0.00277140,0.77828030
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,35,0.00277886,0.77644134
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,36,0.00285236,0.75830972
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,37,0.00292357,0.74074401
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,38,0.00303571,0.71308003
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,39,0.00324579,0.66125688
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,40,0.00345520,0.60959955
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,41,0.00376482,0.53322139
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,42,0.00403022,0.46775105
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,43,0.00429649,0.40206854
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,44,0.00456213,0.33653893
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,45,0.00483519,0.26917862
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,46,0.00500580,0.22709397
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,47,0.00526132,0.16406084
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,48,0.00533859,0.14499853
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,49,0.00557308,0.08715537
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,50,0.00559275,0.08230301
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,51,0.00585037,0.01875123
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,52,0.00578845,0.03402729
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,53,0.00592639,0.00000000
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,54,0.00580227,0.03061679
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,55,0.00575808,0.04151857
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,56,0.00560497,0.07928823
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,57,0.00540011,0.12982287
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,58,0.00523147,0.17142301
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,59,0.00500662,0.22689122
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,60,0.00474938,0.29034777
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,61,0.00453831,0.34241536
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,62,0.00433773,0.39189320
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,63,0.00421236,0.42281990
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,64,0.00412633,0.44404407
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,65,0.00402111,0.46999952
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,66,0.00395622,0.48600524
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,67,0.00384291,0.51395806
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,68,0.00370571,0.54780219
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,69,0.00359630,0.57479085
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,70,0.00352185,0.59315715
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,71,0.00338801,0.62617410
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,72,0.00343180,0.61537167
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,73,0.00326756,0.65588576
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,74,0.00321023,0.67002787
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,75,0.00317899,0.67773609
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,76,0.00314894,0.68514742
